City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Port Elizabeth,ZA,-33.918,25.5701,71.1,94,100,13.8,overcast clouds
117,Amapa,BR,1.0,-52.0,72.27,98,100,4.5,overcast clouds
118,Norman Wells,CA,65.282,-126.8329,-21.96,69,75,16.11,broken clouds
119,Dawson Creek,CA,55.7666,-120.2362,4.64,66,20,5.75,few clouds
120,Chuy,UY,-33.6971,-53.4616,71.4,83,0,12.91,clear sky
121,Nuuk,GL,64.1835,-51.7216,11.01,56,75,9.22,broken clouds
122,Touros,BR,-5.1989,-35.4608,83.3,73,31,12.59,scattered clouds
123,Tagab,AF,34.855,69.6492,32.61,49,6,9.55,clear sky
124,Ribeira Grande,PT,38.5167,-28.7,59.47,73,10,9.13,clear sky
125,North Bend,US,43.4065,-124.2243,51.24,98,100,8.05,overcast clouds
126,Bengkulu,ID,-3.8004,102.2655,75.4,86,82,4.92,broken clouds
127,Katobu,ID,-4.9408,122.5276,79.48,80,100,1.43,overcast clouds
128,Port Hedland,AU,-20.3167,118.5667,80.65,89,97,6.91,overcast clouds
129,Planadas,CO,3.197,-75.6451,79.23,85,100,4.38,overcast clouds
130,Longyearbyen,SJ,78.2186,15.6401,15.64,67,0,20.71,clear sky
131,Atuona,PF,-9.8,-139.0333,78.24,77,59,15.57,light rain
132,Saskylakh,RU,71.9167,114.0833,-30.98,100,27,2.91,scattered clouds
133,New Norfolk,AU,-42.7826,147.0587,62.1,92,78,3.53,broken clouds
134,Kodiak,US,57.79,-152.4072,36.91,93,100,9.22,light snow
135,Cherskiy,RU,68.75,161.3,-15.75,68,60,1.88,broken clouds
136,Broome,US,42.2506,-75.833,40.37,71,75,1.01,broken clouds
137,Sambava,MG,-14.2667,50.1667,75.15,86,100,4.99,overcast clouds
138,Dodge City,US,37.7528,-100.0171,13.24,85,100,23.0,mist
139,Port Lincoln,AU,-34.7333,135.8667,65.17,62,36,16.46,scattered clouds
140,Maumere,ID,-8.6199,122.2111,81.18,77,75,1.12,broken clouds
141,Tasiilaq,GL,65.6145,-37.6368,14.16,84,100,1.05,overcast clouds
142,Mitchell,US,43.7094,-98.0298,8.58,45,0,5.99,clear sky
143,Ahuimanu,US,21.4447,-157.8378,80.31,62,20,3.0,few clouds
144,Diego De Almagro,CL,-26.3667,-70.05,68.85,32,0,5.91,clear sky
145,Stephenville,US,32.2207,-98.2023,33.19,96,90,9.22,snow
146,San Patricio,US,28.017,-97.5169,77.09,80,90,8.75,overcast clouds
147,Vila Velha,BR,-20.3297,-40.2925,78.94,86,0,4.61,clear sky
148,Gornopravdinsk,RU,60.05,69.9,21.65,94,100,9.93,overcast clouds
149,Namatanai,PG,-3.6667,152.4333,80.44,81,100,9.22,light rain
150,Gwadar,PK,25.1216,62.3254,66.49,31,0,18.32,clear sky
151,Hovd,MN,48.0056,91.6419,-6.2,99,94,1.32,overcast clouds
152,Victoria,HK,22.2855,114.1577,58.95,93,100,10.51,overcast clouds
153,Kununurra,AU,-15.7667,128.7333,80.58,78,90,5.75,overcast clouds
154,Nelson Bay,AU,-32.7167,152.15,69.12,90,100,3.0,overcast clouds
155,Zhigansk,RU,66.7697,123.3711,-12.46,98,100,5.88,light snow
156,Devils Lake,US,48.1128,-98.8651,-9.42,64,0,14.97,clear sky
157,Masvingo,ZW,-20.0637,30.8277,68.29,74,45,4.5,scattered clouds
158,Dunedin,NZ,-45.8742,170.5036,54.81,92,100,10.67,overcast clouds
159,Bilibino,RU,68.0546,166.4372,-5.06,64,41,4.63,scattered clouds
160,Tagusao,PH,9.1924,117.8141,78.67,82,19,4.03,few clouds
161,Cacapava Do Sul,BR,-30.5122,-53.4914,76.93,55,74,11.52,broken clouds
162,Hasaki,JP,35.7333,140.8333,32.4,52,53,11.3,broken clouds
163,Belmonte,BR,-15.8631,-38.8828,81.1,80,100,5.82,overcast clouds
164,East Bethel,US,45.3194,-93.2025,5.04,59,85,3.0,overcast clouds
165,Vila Do Maio,CV,15.1333,-23.2167,72.39,81,10,17.07,clear sky
166,Sechura,PE,-5.5569,-80.8222,75.94,60,36,16.89,scattered clouds
167,Feijo,BR,-8.1642,-70.3536,73.35,97,79,3.96,broken clouds
168,Hermanus,ZA,-34.4187,19.2345,65.89,87,4,11.97,clear sky
169,Moscow,RU,55.7522,37.6156,21.63,97,99,3.58,light snow
170,San Juan De Colon,VE,8.0313,-72.2605,70.32,67,17,4.09,few clouds
171,Gidole,ET,5.65,37.3667,65.39,38,100,4.03,overcast clouds
172,Luderitz,NA,-26.6481,15.1594,67.78,79,65,2.01,broken clouds
173,Ponta Delgada,PT,37.7333,-25.6667,58.5,77,20,8.05,few clouds
174,Khatanga,RU,71.9667,102.5,-36.18,98,48,1.07,scattered clouds
175,Hofn,IS,64.2539,-15.2082,30.07,56,100,7.4,overcast clouds
176,Kapaa,US,22.0752,-159.319,81.12,66,0,3.0,clear sky
177,Zihuatanejo,MX,17.6333,-101.55,79.21,59,0,5.03,clear sky
178,Qaqortoq,GL,60.7167,-46.0333,3.7,63,71,9.22,broken clouds
179,Meulaboh,ID,4.1363,96.1285,75.24,88,59,4.05,broken clouds
180,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,62,0,3.0,clear sky
181,Sistranda,NO,63.7256,8.834,31.96,59,97,21.99,overcast clouds
182,Mehamn,NO,71.0357,27.8492,24.24,73,100,9.51,light snow
183,Ayan,RU,56.45,138.1667,-3.5,67,100,16.35,overcast clouds
184,Pisco,PE,-13.7,-76.2167,75.25,60,0,18.41,clear sky
185,Rio Grande,BR,-32.035,-52.0986,74.01,85,0,18.92,clear sky
186,Kjollefjord,NO,70.9457,27.3465,22.66,76,100,8.7,overcast clouds
187,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.0,90,100,5.84,moderate rain
188,Morogoro,TZ,-6.8167,37.6667,69.48,98,100,1.34,light rain
189,Popondetta,PG,-8.7537,148.2534,86.58,62,95,3.31,moderate rain
190,Ranot,TH,7.7777,100.3213,79.05,82,63,11.83,broken clouds
191,Vuktyl,RU,63.8567,57.3094,16.3,96,98,5.7,overcast clouds
192,Maragogi,BR,-9.0122,-35.2225,79.39,77,42,8.7,scattered clouds
193,Galle,LK,6.0367,80.217,73.29,85,34,6.4,scattered clouds
194,Vegueta,PE,-11.0231,-77.6431,71.46,77,10,11.34,clear sky
195,Mount Gambier,AU,-37.8333,140.7667,60.71,63,100,13.8,overcast clouds
196,San Joaquin,US,37.9333,-121.3011,62.98,27,0,25.32,clear sky
197,Vardo,NO,70.3705,31.1107,29.98,59,100,18.5,light snow
198,Yaqui,MX,27.3667,-110.1667,63.01,64,97,11.88,overcast clouds
199,Geraldton,AU,-28.7667,114.6,88.21,15,0,27.63,clear sky
200,Talnakh,RU,69.4865,88.3972,-8.14,99,94,6.31,overcast clouds
201,Hobart,AU,-42.8794,147.3294,62.46,55,40,12.66,scattered clouds
202,Yotsukaido,JP,35.65,140.1667,44.89,37,52,6.62,broken clouds
203,Mitu,CO,1.1983,-70.1733,77.23,71,94,2.39,overcast clouds
204,Fairbanks,US,64.8378,-147.7164,-13.02,74,0,0.0,clear sky
205,Linqing,CN,36.8456,115.7117,29.57,44,0,3.83,clear sky
206,Hoskote,IN,13.0669,77.7983,64.6,100,20,4.61,mist
207,Nsanje,MW,-16.92,35.262,71.82,92,73,0.63,broken clouds
208,West Bay,KY,19.3667,-81.4167,80.67,81,20,1.99,few clouds
209,Inta,RU,66.0317,60.1659,11.59,96,100,4.25,overcast clouds
210,Morondava,MG,-20.2833,44.2833,79.27,88,80,5.64,moderate rain
211,Orlik,RU,52.5178,99.825,-22.16,97,85,2.21,overcast clouds
212,Grand Gaube,MU,-20.0064,57.6608,81.0,89,100,20.0,moderate rain
213,Souillac,MU,-20.5167,57.5167,80.98,89,75,27.63,light intensity shower rain
214,Catalina,US,32.5056,-110.9211,54.66,16,5,5.99,clear sky
215,Carnarvon,AU,-24.8667,113.6333,78.87,89,61,11.5,broken clouds
216,Leh,IN,34.1667,77.5833,7.0,89,99,4.12,overcast clouds
217,Kubachi,RU,42.086,47.6034,33.96,39,65,9.48,broken clouds
218,Saint-Philippe,RE,-21.3585,55.7679,80.19,96,100,34.34,heavy intensity rain
219,Fortuna,US,40.5982,-124.1573,59.47,74,0,7.0,clear sky
220,Teguise,ES,29.0605,-13.564,66.42,60,0,13.8,clear sky
221,Vestmannaeyjar,IS,63.4427,-20.2734,29.95,79,100,13.38,overcast clouds
222,Okha,RU,53.5739,142.9478,3.06,94,100,27.54,snow
223,Omboue,GA,-1.5746,9.2618,77.22,86,88,6.22,light rain
224,Parabel,RU,58.6978,81.4825,9.77,94,94,8.41,overcast clouds
225,Aranos,NA,-24.1333,19.1167,70.99,75,80,4.36,light rain
226,Cururupu,BR,-1.8283,-44.8683,75.06,93,100,3.69,overcast clouds
227,Leningradskiy,RU,69.3833,178.4167,-12.62,93,28,10.0,scattered clouds
228,Mogadishu,SO,2.0371,45.3438,77.13,88,94,18.88,overcast clouds
229,Staraya Poltavka,RU,50.4772,46.4814,34.93,100,100,17.69,snow
230,Le Vauclin,MQ,14.5452,-60.8388,77.05,78,0,9.22,clear sky
231,Uray,RU,60.1247,64.7758,14.38,97,92,6.22,overcast clouds
232,Blieskastel,DE,49.2372,7.2562,46.63,86,75,8.05,broken clouds
233,Sola,VU,-13.8833,167.55,81.18,76,98,8.21,moderate rain
234,Bulalacao,PH,12.3254,121.3435,78.6,81,84,17.4,broken clouds
235,Nanortalik,GL,60.1432,-45.2371,10.63,60,53,8.52,broken clouds
236,Kangaatsiaq,GL,68.3065,-53.4641,-5.24,75,100,16.91,overcast clouds
237,Richards Bay,ZA,-28.783,32.0377,76.39,83,6,15.66,clear sky
238,Corinth,GR,37.9407,22.9573,45.63,79,88,11.05,overcast clouds
239,Bansang,GM,13.4333,-14.65,71.94,11,40,2.59,scattered clouds
240,Silifke,TR,36.3778,33.9344,52.72,74,87,17.09,overcast clouds
241,Hualmay,PE,-11.0964,-77.6139,71.55,78,9,11.34,clear sky
242,Codrington,AU,-38.2667,141.9667,60.03,62,91,14.43,overcast clouds
243,Georgetown,MY,5.4112,100.3354,79.9,93,20,1.99,few clouds
244,Hayden,US,47.766,-116.7866,25.97,65,40,3.44,scattered clouds
245,Alofi,NU,-19.0595,-169.9187,76.89,88,75,10.36,drizzle
246,Esil,KZ,51.9556,66.4042,15.64,89,100,6.29,overcast clouds
247,Aklavik,CA,68.2191,-135.0107,-22.0,69,75,3.44,broken clouds
248,Finnsnes,NO,69.2296,17.9811,13.96,95,73,6.02,broken clouds
249,Palora,EC,-1.7,-77.9333,77.11,86,63,1.19,broken clouds
250,Yulara,AU,-25.2406,130.9889,67.84,52,100,14.97,overcast clouds
251,Sabla,NG,12.7525,4.7077,66.15,10,51,9.57,broken clouds
252,Kruisfontein,ZA,-34.0033,24.7314,68.88,91,100,8.99,overcast clouds
253,Dubai,AE,25.2582,55.3047,68.22,68,0,3.44,clear sky
254,Clyde River,CA,70.4692,-68.5914,-16.37,76,90,11.5,light snow
255,Karpogory,RU,64.0019,44.4451,14.16,98,100,2.33,overcast clouds
256,Nara,JP,34.6851,135.8049,43.88,62,98,5.93,overcast clouds
257,Taoudenni,ML,22.6783,-3.9836,64.6,20,26,12.68,scattered clouds
258,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,75,11.5,light snow
259,Sitka,US,57.0531,-135.33,39.09,93,100,4.61,mist
260,Singkang,MY,2.1006,102.7994,76.89,93,77,3.11,broken clouds
261,Lata,PT,40.1629,-8.3327,50.72,76,90,4.76,overcast clouds
262,Half Moon Bay,US,37.4636,-122.4286,64.72,30,1,5.01,clear sky
263,Te Anau,NZ,-45.4167,167.7167,58.93,92,99,3.8,light rain
264,Troitsko-Pechorsk,RU,62.7084,56.1964,21.65,96,94,6.4,overcast clouds
265,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,23.02,few clouds
266,Ahipara,NZ,-35.1667,173.1667,75.81,66,97,14.03,overcast clouds
267,Kavieng,PG,-2.5744,150.7967,79.27,84,100,15.05,light rain
268,Airai,TL,-8.9266,125.4092,65.5,79,100,2.86,moderate rain
269,Finschhafen,PG,-6.6024,147.8681,82.71,75,100,11.18,overcast clouds
270,Kiunga,PG,-6.1219,141.2906,82.2,63,100,0.51,overcast clouds
271,Mahebourg,MU,-20.4081,57.7,80.89,89,75,27.63,light intensity shower rain
272,Yar-Sale,RU,66.8333,70.8333,2.08,97,100,12.8,light snow
273,Budaun,IN,28.05,79.1167,54.32,63,51,11.74,broken clouds
274,Cidreira,BR,-30.1811,-50.2056,75.43,85,2,18.75,clear sky
275,Kembolcha,ET,11.0816,39.7434,62.56,64,98,0.92,overcast clouds
276,Ambilobe,MG,-13.2,49.05,73.65,95,100,1.45,overcast clouds
277,Pangnirtung,CA,66.1451,-65.7125,6.8,78,100,25.32,light snow
278,Kirakira,SB,-10.4544,161.9205,84.25,76,100,7.92,moderate rain
279,Beringovskiy,RU,63.05,179.3167,7.03,76,86,20.24,overcast clouds
280,Bennettsville,US,34.6174,-79.6848,57.9,70,0,0.0,clear sky
