City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Ilulissat,GL,2022-02-01 05:49:31,69.2167,-51.1,6.82,72,100,1.14
106,Vao,NC,2022-02-01 05:49:31,-22.6667,167.4833,75.74,83,96,14.54
107,Thanh Hoa,VN,2022-02-01 05:49:31,19.8,105.7667,63.36,59,96,4.21
108,Dharchula,IN,2022-02-01 05:49:32,29.85,80.5333,56.66,42,46,5.64
109,Kruisfontein,ZA,2022-02-01 05:49:32,-34.0033,24.7314,72.88,72,99,3.53
110,Lompoc,US,2022-02-01 05:46:02,34.6391,-120.4579,59.31,89,0,0.0
111,Umm Lajj,SA,2022-02-01 05:49:32,25.0213,37.2685,62.76,47,0,12.17
112,Zemio,CF,2022-02-01 05:49:32,5.0314,25.1361,74.28,24,55,4.09
113,Fairbanks,US,2022-02-01 05:45:04,64.8378,-147.7164,-17.39,76,0,0.0
114,Larsnes,NO,2022-02-01 05:49:33,62.2028,5.5773,33.62,88,100,13.44
115,Loja,EC,2022-02-01 05:49:33,-3.9931,-79.2042,54.81,98,100,2.62
116,Inhambane,MZ,2022-02-01 05:49:33,-23.865,35.3833,75.18,88,40,5.01
117,Tazovskiy,RU,2022-02-01 05:49:34,67.4667,78.7,1.6,97,100,5.84
118,Bayugan,PH,2022-02-01 05:49:34,8.7561,125.7675,87.48,50,99,3.2
119,Yangliuqing,CN,2022-02-01 05:49:34,39.1375,116.9997,30.15,31,0,7.65
120,Lagoa,PT,2022-02-01 05:49:35,39.05,-27.9833,58.64,78,49,20.78
121,San Cristobal,VE,2022-02-01 05:49:35,7.7669,-72.225,68.18,83,98,3.15
122,Lai,TD,2022-02-01 05:49:35,9.3952,16.2989,62.1,23,33,4.52
123,San Jeronimo,PE,2022-02-01 05:49:35,-11.9472,-75.2829,45.68,94,100,1.9
124,Shenjiamen,CN,2022-02-01 05:49:36,29.9576,122.298,41.54,89,100,14.27
125,Lebu,CL,2022-02-01 05:49:36,-37.6167,-73.65,56.16,84,0,16.33
126,Pacifica,US,2022-02-01 05:49:36,37.6138,-122.4869,53.13,85,40,3.0
127,Torbay,CA,2022-02-01 05:49:37,47.6666,-52.7314,31.57,71,75,16.11
128,Sao Filipe,CV,2022-02-01 05:49:37,14.8961,-24.4956,75.25,66,100,9.98
129,Kohima,IN,2022-02-01 05:49:37,25.6667,94.1167,54.37,50,26,4.65
130,Leh,IN,2022-02-01 05:49:38,34.1667,77.5833,8.98,80,94,2.26
131,Talnakh,RU,2022-02-01 05:49:38,69.4865,88.3972,4.21,96,100,9.15
132,Qaanaaq,GL,2022-02-01 05:49:38,77.484,-69.3632,-19.57,58,21,10.38
133,Mancora,PE,2022-02-01 05:49:39,-4.1078,-81.0475,75.09,73,100,2.21
134,Tiksi,RU,2022-02-01 05:49:39,71.6872,128.8694,-9.56,99,100,4.43
135,Laguna,US,2022-02-01 05:49:39,38.421,-121.4238,54.1,82,0,0.0
136,Puerto Ayora,EC,2022-02-01 05:49:39,-0.7393,-90.3518,71.55,94,81,1.01
137,Mar Del Plata,AR,2022-02-01 05:49:40,-38.0023,-57.5575,60.87,64,0,1.99
138,Ribeira Grande,PT,2022-02-01 05:49:40,38.5167,-28.7,59.95,75,22,16.89
139,Tiznit,MA,2022-02-01 05:49:40,29.5833,-9.5,60.57,42,99,4.32
140,Casper,US,2022-02-01 05:49:41,42.8666,-106.3131,25.5,66,40,9.22
